topic_id,topic_label,bertopic_label,keywords,comment_count,positive_count,neutral_count,negative_count,negative_ratio,top_brand,phuc_long_ratio,brand_purity_proxy,top_platform,top_risk_group,taxonomy_alignment_score,avg_cluster_probability,keyword_quality_score,noise_keyword_ratio,strategic_keyword_ratio,representative_comment_quality,volume_score,sentiment_clarity_score,risk_clarity_score,topic_reliability_score,decision_confidence,noisy_topic_flag,management_usefulness,taxonomy_score_map
4,product_taste_quality,katinat / katies / bắp / hào / tự hào,"katinat, katies, bắp, hào, tự hào, bi, bắp bi, tự, dệt, phong vị",341,188,151,2,0.0059,katinat,0.0088,0.9677,facebook,product_quality_risk,0.3514,0.6775,0.28,0.0,0.1,0.6,0.2273,0.5513,1.0,0.493,low,True,noisy_do_not_conclude,"{""product_taste_quality"": 13, ""price_promotion"": 6, ""app_payment_order"": 2, ""service_store_staff"": 0, ""delivery_waiting"": 2, ""branch_availability"": 6, ""brand_love_content"": 8}"
37,product_taste_quality,fan / tuần1 / mã / ngon và / hoàng,"fan, tuần1, mã, ngon và, hoàng, shop ơi, quáaa, trông, là tỉnh, này mua",38,13,23,2,0.0526,highlands,0.0,0.7105,facebook,product_quality_risk,0.2632,0.8712,0.375,0.2,0.1,0.6,0.0253,0.6053,1.0,0.4891,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 5, ""price_promotion"": 3, ""app_payment_order"": 0, ""service_store_staff"": 2, ""delivery_waiting"": 2, ""branch_availability"": 4, ""brand_love_content"": 3}"
31,brand_love_content,ship / tàu / có ship / hũ / tàu hủ,"ship, tàu, có ship, hũ, tàu hủ, hủ, quán, đc, matcha tàu, thì",43,14,29,0,0.0,katinat,0.3256,0.3488,tiktok,brand_content_signal,0.3077,0.7881,0.38,0.0,0.0,0.6,0.0287,0.6744,1.0,0.4889,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 5, ""price_promotion"": 3, ""app_payment_order"": 1, ""service_store_staff"": 2, ""delivery_waiting"": 4, ""branch_availability"": 3, ""brand_love_content"": 8}"
12,product_taste_quality,kem / freeze / bánh / lớp / ngon,"kem, freeze, bánh, lớp, ngon, muối, dâu, mặn, nhân, vị",158,76,78,4,0.0253,highlands,0.0949,0.8481,tiktok,product_quality_risk,0.5385,0.3632,0.44,0.0,0.3,0.6,0.1053,0.4937,1.0,0.4883,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 14, ""price_promotion"": 7, ""app_payment_order"": 0, ""service_store_staff"": 1, ""delivery_waiting"": 0, ""branch_availability"": 1, ""brand_love_content"": 3}"
8,product_taste_quality,giá / tiền / combo / đắt / chỉ,"giá, tiền, combo, đắt, chỉ, rẻ, hộp, thì, 69k, nhiêu",246,66,150,30,0.122,highlands,0.3943,0.4878,tiktok,product_quality_risk,0.4167,0.4786,0.38,0.0,0.0,0.6,0.164,0.6098,1.0,0.4832,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 15, ""price_promotion"": 10, ""app_payment_order"": 1, ""service_store_staff"": 2, ""delivery_waiting"": 2, ""branch_availability"": 1, ""brand_love_content"": 5}"
0,product_taste_quality,nó / món / dở / luôn / nhanh,"nó, món, dở, luôn, nhanh, combo, đợi, món này, làm, combo này",460,122,297,41,0.0891,highlands,0.263,0.5283,tiktok,product_quality_risk,0.3429,0.3018,0.62,0.0,0.3,0.6,0.3067,0.6457,1.0,0.481,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 12, ""price_promotion"": 7, ""app_payment_order"": 0, ""service_store_staff"": 2, ""delivery_waiting"": 1, ""branch_availability"": 4, ""brand_love_content"": 9}"
5,product_taste_quality,phindi / nguyễn / dâu / matcha / phindi matcha,"phindi, nguyễn, dâu, matcha, phindi matcha, matcha dâu, ngon, uống, nguyen, tuần1",335,182,147,6,0.0179,highlands,0.2149,0.5284,facebook,product_quality_risk,0.3667,0.4073,0.56,0.2,0.5,0.6,0.2233,0.5433,1.0,0.4729,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 11, ""price_promotion"": 4, ""app_payment_order"": 0, ""service_store_staff"": 1, ""delivery_waiting"": 1, ""branch_availability"": 4, ""brand_love_content"": 9}"
21,price_promotion,quà / trình / áp / áp dụng / chương trình,"quà, trình, áp, áp dụng, chương trình, chương, dụng, không áp, quà tặng, hàng",104,42,55,7,0.0673,phuc_long,0.6058,0.6058,facebook,price_promotion_risk,0.3235,0.3904,0.36,0.0,0.2,0.6,0.0693,0.5288,1.0,0.4703,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 9, ""price_promotion"": 11, ""app_payment_order"": 2, ""service_store_staff"": 2, ""delivery_waiting"": 3, ""branch_availability"": 2, ""brand_love_content"": 5}"
3,product_taste_quality,highlands / highlands coffee / highland / coffee / ngay,"highlands, highlands coffee, highland, coffee, ngay, tại, hàng, deal, cửa hàng, dụng",442,182,228,32,0.0724,highlands,0.0,1.0,facebook,product_quality_risk,0.3056,0.539,0.29,0.0,0.0,0.6,0.2947,0.5158,1.0,0.4677,low,True,noisy_do_not_conclude,"{""product_taste_quality"": 11, ""price_promotion"": 8, ""app_payment_order"": 1, ""service_store_staff"": 1, ""delivery_waiting"": 3, ""branch_availability"": 6, ""brand_love_content"": 6}"
16,price_promotion,app / trên app / đặt / trên / qua app,"app, trên app, đặt, trên, qua app, dụng, đãi, ưu đãi, shopeefood, ưu",119,40,73,6,0.0504,highlands,0.3277,0.4034,facebook,app_payment_promotion,0.3846,0.4541,0.415,0.0,0.1,0.6,0.0793,0.6134,1.0,0.46,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 4, ""price_promotion"": 10, ""app_payment_order"": 4, ""service_store_staff"": 1, ""delivery_waiting"": 3, ""branch_availability"": 4, ""brand_love_content"": 0}"
28,price_promotion,phúc / phúc long / long / mãi / hoàng,"phúc, phúc long, long, mãi, hoàng, giao, huyền, hiện đại, yêu, bình",49,22,27,0,0.0,phuc_long,0.4082,0.4082,facebook,price_promotion_risk,0.2143,0.7243,0.33,0.2,0.1,0.6,0.0327,0.551,1.0,0.4571,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 5, ""price_promotion"": 6, ""app_payment_order"": 1, ""service_store_staff"": 2, ""delivery_waiting"": 2, ""branch_availability"": 6, ""brand_love_content"": 6}"
15,product_taste_quality,cafe / cà phê / cà / phê / uống,"cafe, cà phê, cà, phê, uống, bánh mì, mì, ngon, thì, caffe",124,59,62,3,0.0242,highlands,0.3226,0.629,tiktok,product_quality_risk,0.3235,0.444,0.36,0.0,0.2,0.6,0.0827,0.5,1.0,0.4501,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 11, ""price_promotion"": 7, ""app_payment_order"": 1, ""service_store_staff"": 4, ""delivery_waiting"": 1, ""branch_availability"": 7, ""brand_love_content"": 3}"
13,branch_availability,quán / quán này / địa / địa chỉ / xe,"quán, quán này, địa, địa chỉ, xe, chỗ, có chỗ, chỉ, quán có, đâu",150,52,95,3,0.02,highlands,0.3,0.38,tiktok,availability_store_risk,0.3214,0.3912,0.5,0.1,0.4,0.6,0.1,0.6333,1.0,0.4499,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 8, ""price_promotion"": 5, ""app_payment_order"": 0, ""service_store_staff"": 2, ""delivery_waiting"": 3, ""branch_availability"": 9, ""brand_love_content"": 1}"
22,price_promotion,coffee đã / lời phản / đã trả / trả lời / lời,"coffee đã, lời phản, đã trả, trả lời, lời, trả, phản, coffee, đã, phản hồi",93,41,52,0,0.0,highlands,0.0108,0.9892,facebook,price_promotion_risk,0.2973,0.5521,0.2,0.0,0.0,0.6,0.062,0.5591,1.0,0.4473,low,True,noisy_do_not_conclude,"{""product_taste_quality"": 9, ""price_promotion"": 11, ""app_payment_order"": 1, ""service_store_staff"": 1, ""delivery_waiting"": 5, ""branch_availability"": 5, ""brand_love_content"": 5}"
30,product_taste_quality,hồng / hoa / rạng / ly hồng / dạ,"hồng, hoa, rạng, ly hồng, dạ, anh, những, màu, rỡ, ly",44,20,24,0,0.0,highlands,0.1136,0.5,tiktok,product_quality_risk,0.3333,0.7801,0.18,0.1,0.0,0.6,0.0293,0.5455,1.0,0.4434,low,True,noisy_do_not_conclude,"{""product_taste_quality"": 8, ""price_promotion"": 3, ""app_payment_order"": 1, ""service_store_staff"": 1, ""delivery_waiting"": 1, ""branch_availability"": 4, ""brand_love_content"": 6}"
14,branch_availability,cửa hàng / cửa / hàng / tại cửa / shop,"cửa hàng, cửa, hàng, tại cửa, shop, tiệm, tại, online, bán, áp dụng",147,60,83,4,0.0272,phuc_long,0.3673,0.3673,tiktok,availability_store_risk,0.3214,0.3719,0.35,0.1,0.1,0.6,0.098,0.5646,1.0,0.423,low,False,noisy_do_not_conclude,"{""product_taste_quality"": 2, ""price_promotion"": 7, ""app_payment_order"": 2, ""service_store_staff"": 1, ""delivery_waiting"": 2, ""branch_availability"": 9, ""brand_love_content"": 5}"
6,product_taste_quality,tuần / phản / cả phản / tất cả / tất,"tuần, phản, cả phản, tất cả, tất, tuầnxem, phản hồi, hồi, tuần1, cả",288,154,134,0,0.0,highlands,0.2361,0.4479,facebook,product_quality_risk,0.2903,0.5653,0.18,0.1,0.0,0.6,0.192,0.5347,1.0,0.4175,low,True,noisy_do_not_conclude,"{""product_taste_quality"": 9, ""price_promotion"": 6, ""app_payment_order"": 0, ""service_store_staff"": 2, ""delivery_waiting"": 2, ""branch_availability"": 4, ""brand_love_content"": 8}"
23,brand_love_content,nhân viên / viên / nhân / văn phòng / phòng,"nhân viên, viên, nhân, văn phòng, phòng, văn, lương, khách, dân, làm",92,38,51,3,0.0326,highlands,0.337,0.4891,tiktok,service_store,0.2162,0.4447,0.245,0.0,0.0,0.6,0.0613,0.5543,1.0,0.4055,low,True,noisy_do_not_conclude,"{""product_taste_quality"": 7, ""price_promotion"": 6, ""app_payment_order"": 1, ""service_store_staff"": 6, ""delivery_waiting"": 5, ""branch_availability"": 4, ""brand_love_content"": 8}"
