source,target,weight,title
topic_4,focus_phuc_long,1,topic-focus
topic_37,brand_highlands,3,topic-brand
topic_37,platform_facebook,2,topic-platform
topic_37,risk_product_quality_risk,2,topic-risk
topic_37,confidence_low,2,topic-confidence
topic_37,focus_no_phuc_long_signal,1,topic-focus
topic_31,brand_katinat,3,topic-brand
topic_31,platform_tiktok,2,topic-platform
topic_31,risk_brand_content_signal,2,topic-risk
topic_31,confidence_low,2,topic-confidence
topic_31,focus_phuc_long,1,topic-focus
topic_12,brand_highlands,3,topic-brand
topic_12,platform_tiktok,2,topic-platform
topic_12,risk_product_quality_risk,2,topic-risk
topic_12,confidence_low,2,topic-confidence
topic_12,focus_phuc_long,1,topic-focus
topic_8,brand_highlands,3,topic-brand
topic_8,platform_tiktok,2,topic-platform
topic_8,risk_product_quality_risk,2,topic-risk
topic_8,confidence_low,2,topic-confidence
topic_8,focus_phuc_long,1,topic-focus
topic_0,brand_highlands,3,topic-brand
topic_0,platform_tiktok,2,topic-platform
topic_0,risk_product_quality_risk,2,topic-risk
topic_0,confidence_low,2,topic-confidence
topic_0,focus_phuc_long,1,topic-focus
topic_5,brand_highlands,3,topic-brand
topic_5,platform_facebook,2,topic-platform
topic_5,risk_product_quality_risk,2,topic-risk
topic_5,confidence_low,2,topic-confidence
topic_5,focus_phuc_long,1,topic-focus
topic_21,brand_phuc_long,3,topic-brand
topic_21,platform_facebook,2,topic-platform
topic_21,risk_price_promotion_risk,2,topic-risk
topic_21,confidence_low,2,topic-confidence
topic_21,focus_phuc_long,1,topic-focus
topic_3,brand_highlands,3,topic-brand
topic_3,platform_facebook,2,topic-platform
topic_3,risk_product_quality_risk,2,topic-risk
topic_3,confidence_low,2,topic-confidence
topic_3,focus_no_phuc_long_signal,1,topic-focus
topic_16,brand_highlands,3,topic-brand
topic_16,platform_facebook,2,topic-platform
topic_16,risk_app_payment_promotion,2,topic-risk
topic_16,confidence_low,2,topic-confidence
topic_16,focus_phuc_long,1,topic-focus
topic_28,brand_phuc_long,3,topic-brand
topic_28,platform_facebook,2,topic-platform
topic_28,risk_price_promotion_risk,2,topic-risk
topic_28,confidence_low,2,topic-confidence
topic_28,focus_phuc_long,1,topic-focus
topic_15,brand_highlands,3,topic-brand
topic_15,platform_tiktok,2,topic-platform
topic_15,risk_product_quality_risk,2,topic-risk
topic_15,confidence_low,2,topic-confidence
topic_15,focus_phuc_long,1,topic-focus
topic_13,brand_highlands,3,topic-brand
topic_13,platform_tiktok,2,topic-platform
topic_13,risk_availability_store_risk,2,topic-risk
topic_13,confidence_low,2,topic-confidence
topic_13,focus_phuc_long,1,topic-focus
topic_22,brand_highlands,3,topic-brand
topic_22,platform_facebook,2,topic-platform
topic_22,risk_price_promotion_risk,2,topic-risk
topic_22,confidence_low,2,topic-confidence
topic_22,focus_phuc_long,1,topic-focus
topic_30,brand_highlands,3,topic-brand
topic_30,platform_tiktok,2,topic-platform
topic_30,risk_product_quality_risk,2,topic-risk
topic_30,confidence_low,2,topic-confidence
topic_30,focus_phuc_long,1,topic-focus
topic_14,brand_phuc_long,3,topic-brand
topic_14,platform_tiktok,2,topic-platform
topic_14,risk_availability_store_risk,2,topic-risk
topic_14,confidence_low,2,topic-confidence
topic_14,focus_phuc_long,1,topic-focus
topic_6,brand_highlands,3,topic-brand
topic_6,platform_facebook,2,topic-platform
topic_6,risk_product_quality_risk,2,topic-risk
topic_6,confidence_low,2,topic-confidence
topic_6,focus_phuc_long,1,topic-focus
topic_23,brand_highlands,3,topic-brand
topic_23,platform_tiktok,2,topic-platform
topic_23,risk_service_store,2,topic-risk
topic_23,confidence_low,2,topic-confidence
topic_23,focus_phuc_long,1,topic-focus
