source_row_id,source_name,platform,record_type,text,brand,created_at,date,hour,weekday,time_slot,like_count,comment_count,share_count,view_count,engagement_total,engagement_rate,comment_depth,share_rate,sentiment_label,sentiment_score,risk_group,risk_keyword_flag,content_pillar,caption_length,is_phuc_long,rank_score
189,facebook_posts_clean.csv,facebook,post,Thử ngay vận may cùng Fan cứng Phúc Long nha mấy bà. … Xem thêm,phuc_long,2026-02-27 09:00:22,2026-02-27,9.0,Friday,morning_6_11,144000,0,0,,144000,,0.0,,positive,1,app_payment_promotion,True,other,63,True,144005.0
5,facebook_posts_clean.csv,facebook,post,"Ly giấy mới của Phúc Long lên sóng là nhảy phải bắt trend liền ngay. 
Mau ghé Phúc Long để Xé Ly Rinh Quà nha mọi người ơiii
… Xem thêm",phuc_long,2026-02-27 09:00:22,2026-02-27,9.0,Friday,morning_6_11,144000,0,0,,144000,,0.0,,positive,1,app_payment_promotion,True,khuyen_mai_minigame,135,True,144005.0
575,facebook_posts_clean.csv,facebook,post,K có voucher j,phuc_long,,NaT,,,unknown,144000,4,0,,144004,,2.777700619427238e-05,,neutral,0,app_payment_promotion,True,trai_nghiem_so_ket_noi,14,True,144004.0
562,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-11-03 08:00:20,2023-11-03,8.0,Friday,morning_6_11,40100,506,1211,51800000.0,41817,0.0008072779922779923,0.012100341966186002,2.337837837837838e-05,neutral,0,none,False,other,0,False,93617.0
490,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-08-31 21:42:20,2024-08-31,21.0,Saturday,evening_18_22,57800,234,1646,28800000.0,59680,0.0020722222222222223,0.003920911528150134,5.7152777777777775e-05,neutral,0,none,False,other,0,False,88480.0
138,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-02-15 16:58:19,2025-02-15,16.0,Saturday,afternoon_14_18,29200,551,5538,45400000.0,35289,0.0007772907488986785,0.015613930686616226,0.00012198237885462555,neutral,0,none,False,other,0,False,80689.0
258,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-07-02 10:57:18,2025-07-02,10.0,Wednesday,morning_6_11,21900,244,1811,52100000.0,23955,0.00045978886756238005,0.01018576497599666,3.4760076775431864e-05,neutral,0,none,False,other,0,False,76055.0
541,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-04-05 13:41:36,2024-04-05,13.0,Friday,lunch_11_14,39900,852,3640,30400000.0,44392,0.0014602631578947368,0.019192647323842134,0.00011973684210526316,neutral,0,none,False,other,0,False,74792.0
302,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-11-15 20:00:00,2025-11-15,20.0,Saturday,evening_18_22,13500,545,1637,58300000.0,15682,0.00026898799313893653,0.03475322025251881,2.8078902229845624e-05,neutral,0,none,False,other,0,False,73982.0
465,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-11-12 10:28:50,2024-11-12,10.0,Tuesday,morning_6_11,34100,483,5009,29900000.0,39592,0.0013241471571906354,0.012199434229137199,0.00016752508361204014,neutral,0,none,False,other,0,False,69492.0
561,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-11-06 11:24:27,2023-11-06,11.0,Monday,lunch_11_14,27100,175,700,40800000.0,27975,0.0006856617647058823,0.006255585344057194,1.715686274509804e-05,neutral,0,none,False,other,0,False,68775.0
528,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-05-03 17:32:42,2024-05-03,17.0,Friday,afternoon_14_18,17200,71,536,47000000.0,17807,0.00037887234042553193,0.003987196046498568,1.1404255319148937e-05,neutral,0,none,False,other,0,False,64807.0
288,tiktok_videos_clean.csv,tiktok,post,,highlands,2026-02-10 13:38:54,2026-02-10,13.0,Tuesday,lunch_11_14,17700,102,1593,41200000.0,19395,0.00047075242718446603,0.005259087393658159,3.866504854368932e-05,neutral,0,none,False,other,0,False,60595.0
648,tiktok_videos_clean.csv,tiktok,post,,katinat,2025-03-28 16:59:58,2025-03-28,16.0,Friday,afternoon_14_18,41800,740,15100,1200000.0,57640,0.04803333333333333,0.012838306731436502,0.012583333333333334,neutral,0,none,False,other,0,False,58840.0
441,tiktok_videos_clean.csv,tiktok,post,,phuc_long,2022-01-21 12:26:29,2022-01-21,12.0,Friday,lunch_11_14,37600,129,276,10000000.0,38005,0.0038005,0.0033942902249703985,2.76e-05,neutral,0,none,False,other,0,True,48005.0
440,tiktok_videos_clean.csv,tiktok,post,,phuc_long,2022-01-21 15:49:19,2022-01-21,15.0,Friday,afternoon_14_18,36400,117,277,9800000.0,36794,0.0037544897959183674,0.003179866282546067,2.826530612244898e-05,neutral,0,none,False,other,0,True,46594.0
99,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-07-04 15:14:34,2025-07-04,15.0,Friday,afternoon_14_18,14100,250,2150,29500000.0,16500,0.0005593220338983051,0.015151515151515152,7.288135593220338e-05,neutral,0,none,False,other,0,False,46000.0
538,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-04-10 12:25:31,2024-04-10,12.0,Wednesday,lunch_11_14,22300,347,1299,21100000.0,23946,0.0011348815165876777,0.014490937943706674,6.156398104265403e-05,neutral,0,none,False,other,0,False,45046.0
224,tiktok_videos_clean.csv,tiktok,post,,katinat,2025-10-08 23:01:43,2025-10-08,23.0,Wednesday,night_22_6,36600,411,2738,1200000.0,39749,0.03312416666666667,0.010339882764346274,0.0022816666666666667,neutral,0,none,False,other,0,False,40949.0
143,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-01-09 16:33:44,2025-01-09,16.0,Thursday,afternoon_14_18,27900,150,2937,9100000.0,30987,0.0034051648351648353,0.0048407396650208155,0.0003227472527472527,neutral,0,none,False,other,0,False,40087.0
459,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-11-19 20:05:23,2024-11-19,20.0,Tuesday,evening_18_22,29300,1217,7025,1400000.0,37542,0.026815714285714286,0.03241702626391774,0.0050178571428571425,neutral,0,none,False,other,0,False,38942.0
575,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-06-12 12:25:18,2023-06-12,12.0,Monday,lunch_11_14,11300,215,556,26400000.0,12071,0.0004572348484848485,0.017811283240825117,2.106060606060606e-05,neutral,0,none,False,other,0,False,38471.0
573,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-06-28 10:24:51,2023-06-28,10.0,Wednesday,morning_6_11,6834,23,186,29100000.0,7043,0.0002420274914089347,0.0032656538406928867,6.391752577319588e-06,neutral,0,none,False,other,0,False,36143.0
3056,facebook_posts_clean.csv,facebook,post,"CHÍNH THỨC RA MẮT LY PHÉP MÀU – Phiên bản ly giới hạn mùa Lễ hội 2025
MỞ NƠ XINH BÍ ẨN, ĐÓN GIÁNG SINH PHÉP MÀU CÙNG KATINAT x FUJIFILM

🎅 Gói trọn tinh thần của trò chơi “Secret Santa” đầy bất ngờ và háo hức của Giáng Sinh, mùa Lễ hội năm nay KATINAT mang đến cho Katies phiên bản ly giới hạn - Ly Phép Màu, chính thức ra mắt từ 15/11/2025 trên toàn hệ thống KATINAT và được phục vụ trong tất cả thức uống size L.

Đặc biệt, ẩn sau những chiếc nơ nổi bật trên nền ly Hologram lấp lánh chính là món quà bất ngờ, mỗi lần Katies “mở nơ” chính là khoảnh khắc đón nhận “phép màu” từ những món quà giá trị đến từ KATINAT và Fujifilm Camera Vietnam:
🎁 08 Giải Đặc Biệt: Máy ảnh Fujifilm X half
🎁 12 Giải Nhất: Máy ảnh Fujifilm instax mini Evo™
🎁 18 Giải Nhì: Máy ảnh Fujifilm instax Pal™
Cùng các sản phẩm Merchandise giới hạn mùa lễ hội, mang đậm dấu ấn thương hiệu KATINAT và hàng ngàn Voucher ưu đãi khác.

Thương mời Katies đến sở hữu Ly Phép Màu và mở những chiếc nơ xinh bí ẩn, tận hưởng khoảnh khắc “săn quà” Giáng Sinh 2025 tại KATINAT nha! 🎄
*Số lượng ly giới hạn nha Katies ơi!",katinat,2025-11-12 09:53:28,2025-11-12,9.0,Wednesday,morning_6_11,32859,2285,505,,35649,,0.06409716962607646,,positive,4,app_payment_promotion|taste_quality,True,trai_nghiem_so_ket_noi,1081,False,35669.0
579,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-04-27 18:16:41,2023-04-27,18.0,Thursday,evening_18_22,9395,99,243,25100000.0,9737,0.00038792828685258964,0.010167402690767177,9.681274900398407e-06,neutral,0,none,False,other,0,False,34837.0
544,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-04-01 15:22:48,2024-04-01,15.0,Monday,afternoon_14_18,16800,291,1114,16200000.0,18205,0.0011237654320987655,0.015984619609997253,6.876543209876543e-05,neutral,0,none,False,other,0,False,34405.0
560,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-11-06 16:16:08,2023-11-06,16.0,Monday,afternoon_14_18,7668,339,347,24200000.0,8354,0.0003452066115702479,0.0405793631793153,1.4338842975206612e-05,neutral,0,none,False,other,0,False,32554.0
